Hour,P_Gen_(kW),BESS_Demand_(kW),P_Load_(kW),P_Nett_(kW),P_Loss_(kW),Q_Loss_(kVar),V_Max_(p.u.),V_Bus_Max,V_Min_(p.u.),V_Bus_Min
1,0,40,1634.6,1594.6,61.5202945396341,40.7923215398281,1,1,0.968245073936308,33
2,0,120,1448.85,1328.85,51.8986403930867,35.2923325755385,1,1,0.967244391286747,33
3,0,40,1225.95,1185.95,47.708171643848,32.761258245288,1,1,0.967048033846222,33
4,0,-90,1151.65,1241.65,42.4258526993729,27.9785898662132,1,1,0.970137079800396,33
5,0,-140,1040.2,1180.2,38.7076832526732,25.3101719072579,1,1,0.972101814935964,33
6,0,40,1225.95,1185.95,47.0241757585337,31.9817282687976,1,1,0.967215468458479,33
7,273.6,260,1857.5,1323.9,61.5251681073708,42.0805616692279,1,1,0.967253986265793,33
8,1128.6,40,2489.05,1320.45,87.735938630908,61.2049309892392,1,1,0.966787708388722,33
9,2120.4,-1000,2266.15,1145.75,72.8471275123972,50.7435762413931,1,1,0.969037679344604,33
10,2838.6,-1550,2080.4,791.8,57.3550234657139,39.4053962311086,1,1,0.969226398685444,33
11,3317.4,-2060,1968.95,711.55,57.1950341005372,39.8338103614248,1,1,0.967259671195976,33
12,3420,-2180,2080.4,840.4,61.1287640369708,41.4951437834066,1,1,0.96689490181533,33
13,3317.4,-2090,2154.7,927.3,65.8825622092271,45.4157972252101,1,1,0.967084202094129,33
14,2941.2,-1760,2080.4,899.2,69.2066977050233,50.3438805683565,1,1,0.966873458200189,33
15,2223,-1150,1968.95,895.95,57.9727576258638,41.2460408959473,1,1,0.971143567760864,33
16,444.6,380,2080.4,1255.8,67.3557871901309,46.4774736928062,1,1,0.966777977654107,33
17,205.2,470,2266.15,1590.95,81.3214728671364,54.6428913300254,1,1,0.967043208796228,33
18,0,1020,2674.8,1654.8,101.489454473619,68.6900656843278,1,1,0.96679517661039,33
19,0,1530,3083.45,1553.45,117.882706495614,81.0082773900344,1,1,0.966792484293541,33
20,0,1930,3492.1,1562.1,137.738403067523,93.9946009286925,1,1,0.967385166142885,33
21,0,2280,3715,1435,146.509382000147,100.264309470153,1,1,0.971551381473029,30
22,0,2090,3492.1,1402.1,135.581196324225,93.2863766999614,1,1,0.967938647405038,33
23,0,1420,2897.7,1477.7,103.247497295283,69.465868198586,1,1,0.967309082742303,33
24,0,360,2080.4,1720.4,81.3109319359125,54.6596581839811,1,1,0.966940789342502,33
